CompCode,IndCat
1101,水泥工業
1102,水泥工業
1103,水泥工業
1104,水泥工業
1108,水泥工業
1110,水泥工業
1201,食品工業
1203,食品工業
1210,食品工業
1213,食品工業
1215,食品工業
1216,食品工業
1217,食品工業
1218,食品工業
1219,食品工業
1220,食品工業
1225,食品工業
1227,食品工業
1229,食品工業
1231,食品工業
1232,食品工業
1233,食品工業
1234,食品工業
1235,食品工業
1236,食品工業
1256,食品工業
1301,塑膠工業
1303,塑膠工業
1304,塑膠工業
1305,塑膠工業
1308,塑膠工業
1309,塑膠工業
1310,塑膠工業
1312,塑膠工業
1313,塑膠工業
1314,塑膠工業
1316,建材營造
1319,汽車工業
1323,塑膠工業
1326,塑膠工業
1338,汽車工業
1402,紡織纖維
1409,紡織纖維
1413,紡織纖維
1434,紡織纖維
1440,紡織纖維
1444,紡織纖維
1447,紡織纖維
1455,紡織纖維
1457,紡織纖維
1460,紡織纖維
1466,紡織纖維
1467,紡織纖維
1473,紡織纖維
1476,紡織纖維
1477,紡織纖維
1503,電機機械
1504,電機機械
1525,汽車工業
1531,電機機械
1532,電機機械
1535,電機機械
1536,汽車工業
1558,電機機械
1582,電子零組件業
1590,電機機械
1598,運動休閒
1605,電器電纜
1608,電器電纜
1609,電器電纜
1701,生技醫療業
1702,食品工業
1707,生技醫療業
1708,化學工業
1709,化學工業
1710,化學工業
1711,化學工業
1712,化學工業
1713,化學工業
1714,化學工業
1717,化學工業
1718,化學工業
1720,生技醫療業
1721,化學工業
1722,化學工業
1723,化學工業
1725,化學工業
1726,化學工業
1727,化學工業
1730,化學工業
1732,化學工業
1733,生技醫療業
1735,化學工業
1737,食品工業
1762,生技醫療業
1773,化學工業
1776,化學工業
1789,生技醫療業
1795,生技醫療業
1802,玻璃陶瓷
1904,造紙工業
1905,造紙工業
1907,造紙工業
1909,造紙工業
2002,鋼鐵工業
2006,鋼鐵工業
2007,鋼鐵工業
2010,鋼鐵工業
2013,鋼鐵工業
2014,鋼鐵工業
2015,鋼鐵工業
2017,鋼鐵工業
2023,鋼鐵工業
2027,鋼鐵工業
2031,鋼鐵工業
2049,電機機械
2059,電子零組件業
2062,居家生活
2101,橡膠工業
2102,橡膠工業
2103,橡膠工業
2104,橡膠工業
2105,橡膠工業
2106,橡膠工業
2108,橡膠工業
2201,汽車工業
2204,汽車工業
2206,汽車工業
2207,汽車工業
2208,航運業
2227,汽車工業
2301,電腦及週邊設備業
2303,半導體業
2308,電子零組件業
2312,其他電子業
2313,電子零組件業
2314,通信網路業
2317,其他電子業
2323,光電業
2324,電腦及週邊設備業
2327,電子零組件業
2328,電子零組件業
2329,半導體業
2330,半導體業
2331,電腦及週邊設備業
2332,通信網路業
2337,半導體業
2340,半導體業
2344,半導體業
2345,通信網路業
2347,電子通路業
2349,光電業
2351,半導體業
2352,電腦及週邊設備業
2353,電腦及週邊設備業
2354,其他電子業
2356,電腦及週邊設備業
2357,電腦及週邊設備業
2360,其他電子業
2362,電腦及週邊設備業
2363,半導體業
2367,電子零組件業
2368,電子零組件業
2371,電機機械
2376,電腦及週邊設備業
2377,電腦及週邊設備業
2379,半導體業
2382,電腦及週邊設備業
2383,電子零組件業
2385,電子零組件業
2392,電子零組件業
2393,光電業
2395,電腦及週邊設備業
2401,半導體業
2408,半導體業
2409,光電業
2412,通信網路業
2417,電腦及週邊設備業
2420,電子零組件業
2421,電子零組件業
2423,其他電子業
2439,通信網路業
2441,半導體業
2442,建材營造
2449,半導體業
2450,通信網路業
2454,半導體業
2457,電子零組件業
2458,半導體業
2474,其他電子業
2480,資訊服務業
2484,電子零組件業
2489,光電業
2492,電子零組件業
2498,通信網路業
2501,建材營造
2504,建材營造
2505,建材營造
2511,建材營造
2515,建材營造
2520,建材營造
2530,建材營造
2534,建材營造
2535,建材營造
2539,建材營造
2542,建材營造
2546,建材營造
2547,建材營造
2601,貿易百貨
2603,航運業
2605,航運業
2606,航運業
2607,航運業
2609,航運業
2610,航運業
2614,其他
2615,航運業
2618,航運業
2633,航運業
2634,航運業
2636,航運業
2637,航運業
2642,航運業
2704,觀光餐旅
2707,觀光餐旅
2712,觀光餐旅
2722,觀光餐旅
2723,觀光餐旅
2727,觀光餐旅
2739,觀光餐旅
2748,觀光餐旅
2801,金融保險業
2809,金融保險業
2812,金融保險業
2816,金融保險業
2820,金融保險業
2832,金融保險業
2834,金融保險業
2836,金融保險業
2838,金融保險業
2845,金融保險業
2849,金融保險業
2850,金融保險業
2851,金融保險業
2852,金融保險業
2855,金融保險業
2867,金融保險業
2880,金融保險業
2881,金融保險業
2882,金融保險業
2883,金融保險業
2884,金融保險業
2885,金融保險業
2886,金融保險業
2887,金融保險業
2888,金融保險業
2889,金融保險業
2890,金融保險業
2891,金融保險業
2892,金融保險業
2897,金融保險業
2903,貿易百貨
2905,貿易百貨
2908,貿易百貨
2912,貿易百貨
2913,貿易百貨
2915,貿易百貨
2923,建材營造
2945,貿易百貨
3003,電子零組件業
3005,電腦及週邊設備業
3006,半導體業
3008,光電業
3013,電腦及週邊設備業
3015,電子零組件業
3017,電腦及週邊設備業
3023,電子零組件業
3026,電子零組件業
3034,半導體業
3035,半導體業
3036,電子通路業
3037,電子零組件業
3038,光電業
3042,電子零組件業
3044,電子零組件業
3045,通信網路業
3049,光電業
3062,通信網路業
3094,半導體業
3130,數位雲端
3189,半導體業
3231,電腦及週邊設備業
3380,通信網路業
3413,半導體業
3416,電腦及週邊設備業
3443,半導體業
3447,通信網路業
3454,光電業
3481,光電業
3504,光電業
3515,電腦及週邊設備業
3532,半導體業
3533,電子零組件業
3545,半導體業
3576,光電業
3596,通信網路業
3605,電子零組件業
3645,電子零組件業
3665,其他電子業
3669,通信網路業
3682,通信網路業
3702,電子通路業
3703,建材營造
3704,通信網路業
3706,電腦及週邊設備業
3708,綠能環保
3711,半導體業
4106,生技醫療業
